"name","type","lat","lon","color"
"Katraj","metro",18.446573,73.859009,""
"Seven Loves Chowk","metro",18.501458,73.869616,""
"Pune Cantonment Board","metro",18.502756,73.878369,""
"Race Course","metro",18.506465,73.889388,""
"Fatima Nagar","metro",18.506547,73.900526,""
"Ramtekadi","metro",18.506308,73.911628,""
"Hadapsar","metro",18.50367,73.922775,""
"Dahisar (East) [Line 9]","metro",19.25108,72.867452,"red"
"Pandurang Wadi","metro",19.260099,72.87264,"red"
"Miragaon","metro",19.271007,72.880698,"red"
"Kashigaon","metro",19.277666,72.88024,"red"
"Porur Junction","metro",13.035861,80.156761,"#FFDF00"
"Poonamallee Bypass","metro",13.048021,80.081814,"#FFDF00"
"Thelliyaragaram","metro",13.036864,80.141862,"#FFDF00"
"Porur Bypass","metro",13.036226,80.149971,"#FFDF00"
"Kumananchavadi Metro","metro",13.044683,80.118909,"#FFDF00"
"Poonamallee Government Hospital Metro","metro",13.049712,80.101998,"#FFDF00"
"Poonamallee Bus Stand Metro","metro",13.050922,80.094923,"#FFDF00"
"Kattupakkam","metro",13.041979,80.125382,"#FFDF00"
"Karayanchavadi Metro","metro",13.046711,80.110905,"#FFDF00"
"Iyappanthangal Metro","metro",13.038183,80.134988,"#FFDF00"
"Madhavaram Milk Colony","metro",13.149667,80.241421,"#800080"
"Sholinganallur Metro","metro",12.900958,80.227965,"#800080"
"Kodambakkam Metro","metro",13.052118,80.231127,""
"Panagal Park Metro","metro",13.041026,80.233453,""
"Boat Club Metro","metro",13.02935,80.247704,""
"Bharathidasan Road Metro","metro",13.035814,80.254976,""
"Alwarpet Metro","metro",13.038301,80.259646,""
"Thirumayilai Metro","metro",13.036832,80.267649,""
"Kutchery Road Metro","metro",13.034363,80.273232,""
"Lighthouse Metro","metro",13.043838,80.280042,""
"Madhavaram Depot","metro",13.155758,80.238664,"#FF0000"
"Royapettah Metro","metro",13.054508,80.264239,""
"மைலாப்பூர்","bus",13.033434,80.267946,""
"Foreshore Estate Bus Terminus","bus",13.022402,80.276327,""
"V House Bus Terminus","bus",13.051211,80.277839,""
"Poonamallee MTC Terminus","bus",13.05116,80.094955,""
"GingerBread","bus",13.080216,80.173696,""
"Nanganallur Bus Terminus","bus",12.977807,80.181248,""
"Ramanattukara","bus",11.17824,75.86531,""
"Palayam Bus Stand","bus",11.249439,75.784203,""
"Puratchi Thalaivar Dr. M.G.R Bus Terminus","bus",13.06846,80.205125,""
"Ramapuram Bus Stand","bus",13.034805,80.173857,""
"Taramani","bus",12.985477,80.240563,""
"Saligramam Bus Terminus","bus",13.053339,80.197083,""
"Perambur MTC Terminus","bus",13.108569,80.248252,""
"ICF MTC Terminus","bus",13.100243,80.214714,""
"Kovilpalayam Main Bus Stop","bus",11.135418,77.033752,""
"Minjur MTC Terminus","bus",13.28201,80.253705,""
"Manali MTC Terminus","bus",13.169977,80.257159,""
"மாதவரம் மாநகர பேருந்து முனையம்","bus",13.152368,80.228345,""
"Tarnaka Bus Stop","bus",17.426317,78.531326,""
"Kundrathur Temple MTC Terminus","bus",12.987217,80.093238,""
"Hasthinapuram MTC Terminus","bus",12.940444,80.150586,""
"Tambaram MTC Terminus","bus",12.925339,80.116745,""
"Tambaram East MTC Terminus","bus",12.923598,80.117091,""
"பழவேற்காடு","bus",13.417722,80.313942,""
"BANDA BUS STAND","bus",15.81894,73.86246,""
"Ayanavaram MTC Terminus","bus",13.098591,80.242004,""
"Town Bus Stand","bus",10.086309,77.06008,""
"மகாபலிபுரம்","bus",12.617473,80.193882,""
"Yercaud Bus Stand","bus",11.776765,78.209127,""
"Erumaivettipalayam Bus Stand","bus",13.242455,80.120113,""
"Puzhuthivakkam Bus Stand","bus",12.97398,80.202931,""
"Ayyapanthangal","bus",13.037793,80.134942,""
"Ennore MTC Terminus","bus",13.214722,80.320837,""
"Old Bus Stand","bus",10.786954,79.137605,""
"KK Nagar West MTC Terminus","bus",13.044159,80.193303,""
"Kannagi Nagar MTCTerminus","bus",12.925654,80.238308,""
"NGO Colony Bus Terminus","bus",12.994789,80.206816,""
"Thiruverkadu MTC Bus Terminus","bus",13.069585,80.124022,""
"Semmanchery MTC Terminus","bus",12.874697,80.209765,""
"Elango Nagar MTC Terminus","bus",13.090602,80.185474,""
"Parvathi Nagar MTC Terminus","bus",13.145751,80.250441,""
"Tambaram Bus Stand","bus",12.927719,80.118742,""
"Madipakkam Bus Stand","bus",12.962861,80.198284,""
"Mysore City Bus Stand","bus",12.307989,76.653633,""
"Chikkamaranahalli","bus",13.036222,77.566348,""
"Uttarahalli Bus Station","bus",12.905273,77.543288,""
"Jalahalli Village","bus",13.04523,77.547996,""
"Bhavani Bus Stand","bus",11.452748,77.688559,""
"Thiruvayar Bus Stand","bus",10.787695,79.138529,""
"Kolathur Bus Stand","bus",10.94716,76.137633,""
"Tirumayam Bus Stop","bus",10.245785,78.746841,""
"Afzalgunj","bus",17.373007,78.476656,""
"Kalyan","bus",19.236388,73.130362,""
"Channarayapatna Bus Station","bus",12.898085,76.391215,""
"Sirkazhi Bus Stand","bus",11.234463,79.738467,""
"Bus stand","bus",12.456739,75.960191,""
"Srirangapatna","bus",12.42079,76.691512,""
"KPHB 3rd Phase Bus Stop","bus",17.487951,78.395392,""
"Vinayakapuram","bus",13.139863,80.20568,""
"Bhaucha Dhakka / Ferry Wharf","bus",18.95694,72.849529,""
"Kamalapura Bus Stand","bus",15.305775,76.474029,""
